timestamp,pH,ORP,total_coli,BOD,COD,NO3,temperature
2022-07-20 08:49:03.846000+00:00,,,,,,3.3,
2022-07-20 09:12:48.485000+00:00,,,2421.01,,,,
2022-07-20 09:18:48.513000+00:00,,,,,0.0,,
2022-07-20 09:24:03.536000+00:00,,,,,,0.0,
2022-07-20 09:49:03.884000+00:00,,,2351.24,,,,
2022-07-20 09:57:48.413000+00:00,,,,,,3.6,
2022-07-20 10:19:03.698000+00:00,,262.2,,,,,
2022-07-20 10:21:48.367000+00:00,,,2539.76,,,,
2022-07-20 10:31:03.657000+00:00,,,,,,3.5,
2022-07-20 10:49:03.638000+00:00,7.979999,,,,,,
2022-07-20 11:01:03.748000+00:00,,,,,0.0,,
2022-07-20 11:25:03.724000+00:00,,299.4,,,,,
2022-07-20 11:30:48.225000+00:00,,,,0.0,,,
2022-07-20 11:33:48.234000+00:00,,,,,0.0,,
2022-07-20 11:36:48.227000+00:00,,,,,,3.5,
2022-07-20 11:40:03.682000+00:00,,,,,,,0.0
2022-07-20 11:54:48.193000+00:00,7.969999,,,,,,
2022-07-20 11:58:03.643000+00:00,,298.8,,,,,
2022-07-20 12:01:03.650000+00:00,,,2436.3,,,,
2022-07-20 12:03:48.172000+00:00,,,,0.0,,,
2022-07-20 12:07:03.506000+00:00,,,,,0.0,,
2022-07-20 12:09:48.174000+00:00,,,,,,3.5,
2022-07-20 12:28:03.601000+00:00,7.979999,,,,,,
2022-07-20 12:31:03.597000+00:00,,297.3,,,,,
2022-07-20 12:34:03.589000+00:00,,,2288.42,,,,
2022-07-20 12:37:03.423000+00:00,,,,0.0,,,
2022-07-20 13:00:48.084000+00:00,8.009999,,,,,,
2022-07-20 13:04:03.397000+00:00,,296.1,,,,,
2022-07-20 13:07:03.384000+00:00,,,2291.11,,,,
2022-07-20 13:10:03.524000+00:00,,,,0.0,,,
2022-07-20 13:36:48.013000+00:00,,295.5,,,,,
2022-07-20 13:40:03.482000+00:00,,,2325.18,,,,
2022-07-20 13:42:48.017000+00:00,,,,0.0,,,
2022-07-20 13:45:47.999000+00:00,,,,,0.0,,
2022-07-20 13:49:03.462000+00:00,,,,,,3.6,
2022-07-20 14:06:47.961000+00:00,8.0,,,,,,
2022-07-20 14:09:47.972000+00:00,,295.7,,,,,
2022-07-20 14:12:47.942000+00:00,,,2544.89,,,,
2022-07-20 14:19:03.263000+00:00,,,,,0.0,,
2022-07-20 14:22:03.250000+00:00,,,,,,3.8,
2022-07-20 14:39:47.900000+00:00,7.99,,,,,,
2022-07-20 14:46:03.207000+00:00,,,2483.779,,,,
2022-07-20 14:51:47.893000+00:00,,,,,0.0,,
2022-07-20 14:54:47.884000+00:00,,,,,,3.9,
2022-07-20 15:13:03.291000+00:00,7.99,,,,,,
2022-07-20 15:16:03.299000+00:00,,295.7,,,,,
2022-07-20 15:18:47.838000+00:00,,,2395.24,,,,
2022-07-20 15:22:03.321000+00:00,,,,0.0,,,
2022-07-20 15:25:03.277000+00:00,,,,,0.0,,
2022-07-20 15:28:03.275000+00:00,,,,,,4.1,
2022-07-20 15:46:03.099000+00:00,7.969999,,,,,,
2022-07-20 15:49:03.253000+00:00,,295.9,,,,,
2022-07-20 15:52:03.233000+00:00,,,2289.48,,,,
2022-07-20 15:55:03.233000+00:00,,,,0.0,,,
2022-07-20 15:57:47.775000+00:00,,,,,0.0,,
2022-07-20 16:00:47.759000+00:00,,,,,,4.3,
2022-07-20 16:25:03.177000+00:00,,,2175.64,,,,
2022-07-20 16:33:47.702000+00:00,,,,,,4.4,
2022-07-20 16:36:32.410000+00:00,,,,,,,0.11
2022-07-20 16:51:47.660000+00:00,7.959999,,,,,,
2022-07-20 17:00:47.650000+00:00,,,,0.0,,,
2022-07-20 17:04:02.943000+00:00,,,,,0.0,,
2022-07-20 17:24:47.611000+00:00,7.949999,,,,,,
2022-07-20 17:31:03.062000+00:00,,,2190.1,,,,
2022-07-20 17:34:03.042000+00:00,,,,0.0,,,
2022-07-20 17:37:02.877000+00:00,,,,,0.0,,
2022-07-20 17:58:02.985000+00:00,7.939999,,,,,,
2022-07-20 18:01:02.843000+00:00,,297.2,,,,,
2022-07-20 18:10:02.833000+00:00,,,,,0.0,,
2022-07-20 18:30:47.474000+00:00,7.939999,,,,,,
2022-07-20 18:34:02.789000+00:00,,296.8,,,,,
2022-07-20 18:36:47.478000+00:00,,,2332.25,,,,
2022-07-20 18:40:02.770000+00:00,,,,0.0,,,
2022-07-20 18:42:47.477000+00:00,,,,,0.0,,
2022-07-20 19:04:02.748000+00:00,7.939999,,,,,,
2022-07-20 19:10:02.722000+00:00,,,2476.64,,,,
2022-07-20 19:12:47.394000+00:00,,,,0.0,,,
2022-07-20 19:15:47.401000+00:00,,,,,0.0,,
2022-07-20 19:19:02.698000+00:00,,,,,,5.0,
2022-07-20 19:36:47.364000+00:00,7.929999,,,,,,
2022-07-20 19:39:47.337000+00:00,,296.8,,,,,
2022-07-20 19:43:02.813000+00:00,,,2330.68,,,,
2022-07-20 19:48:47.355000+00:00,,,,,0.0,,
2022-07-20 19:51:47.343000+00:00,,,,,,5.1,
2022-07-20 20:09:47.433000+00:00,7.919999,,,,,,
2022-07-20 20:12:47.315000+00:00,,296.9999,,,,,
2022-07-20 20:21:47.282000+00:00,,,,,0.0,,
2022-07-20 20:25:02.724000+00:00,,,,,,5.1,
2022-07-20 20:46:02.698000+00:00,,296.6,,,,,
2022-07-20 20:49:02.689000+00:00,,,2249.26,,,,
2022-07-20 20:54:47.250000+00:00,,,,,0.0,,
2022-07-20 20:57:47.244000+00:00,,,,,,5.1,
2022-07-20 21:18:47.202000+00:00,,295.9,,,,,
2022-07-20 21:22:02.471000+00:00,,,2329.79,,,,
2022-07-20 21:24:47.202000+00:00,,,,0.0,,,
2022-07-20 21:31:02.482000+00:00,,,,,,5.1,
2022-07-20 21:49:02.452000+00:00,7.909999,,,,,,
2022-07-20 21:52:02.428000+00:00,,295.9,,,,,
2022-07-20 21:55:02.578000+00:00,,,2273.21,,,,
2022-07-20 21:57:47.109000+00:00,,,,0.0,,,
2022-07-20 22:04:02.563000+00:00,,,,,,5.0,
2022-07-20 22:22:02.385000+00:00,7.929999,,,,,,
2022-07-20 22:24:47.073000+00:00,,295.0,,,,,
2022-07-20 22:28:02.524000+00:00,,,2304.57,,,,
2022-07-20 22:34:02.524000+00:00,,,,,0.0,,
2022-07-20 22:40:02.477000+00:00,,,,,,,1.26
2022-07-20 22:54:46.997000+00:00,7.9,,,,,,
2022-07-20 23:03:47.018000+00:00,,,,0.0,,,
2022-07-20 23:06:47.005000+00:00,,,,,0.0,,
2022-07-20 23:10:02.284000+00:00,,,,,,5.0,
2022-07-20 23:28:02.401000+00:00,7.929999,,,,,,
2022-07-20 23:31:02.424000+00:00,,294.9,,,,,
2022-07-20 23:36:46.959000+00:00,,,,0.0,,,
2022-07-20 23:40:02.403000+00:00,,,,,0.0,,
2022-07-21 00:07:02.209000+00:00,,,2251.89,,,,
2022-07-21 00:09:46.880000+00:00,,,,0.0,,,
2022-07-21 00:12:46.875000+00:00,,,,,0.0,,
2022-07-21 00:34:02.161000+00:00,7.959999,,,,,,
2022-07-21 00:43:02.273000+00:00,,,,0.0,,,
2022-07-21 00:49:02.131000+00:00,,,,,,5.1,
2022-07-21 01:13:02.080000+00:00,,,2359.43,,,,
2022-07-21 01:18:46.779000+00:00,,,,,0.0,,
2022-07-21 01:21:46.762000+00:00,,,,,,5.0,
2022-07-21 01:39:46.754000+00:00,7.969999,,,,,,
2022-07-21 01:48:46.740000+00:00,,,,0.0,,,
2022-07-21 01:51:46.717000+00:00,,,,,0.0,,
2022-07-21 01:55:02.026000+00:00,,,,,,5.0,
2022-07-21 02:16:02.149000+00:00,,292.9,,,,,
2022-07-21 02:24:46.689000+00:00,,,,,0.0,,
2022-07-21 02:46:01.940000+00:00,8.009999,,,,,,
2022-07-21 02:54:46.642000+00:00,,,,0.0,,,
2022-07-21 02:58:01.920000+00:00,,,,,0.0,,
2022-07-21 03:01:01.888000+00:00,,,,,,5.0,
2022-07-21 03:22:02.017000+00:00,,292.8,,,,,
2022-07-21 03:31:01.843000+00:00,,,,,0.0,,
2022-07-21 03:34:02.016000+00:00,,,,,,5.0,
2022-07-21 03:52:01.822000+00:00,7.99,,,,,,
2022-07-21 04:04:01.963000+00:00,,,,,0.0,,
2022-07-21 04:24:46.456000+00:00,7.99,,,,,,
2022-07-21 04:27:46.460000+00:00,,292.9,,,,,
2022-07-21 04:34:01.772000+00:00,,,,0.0,,,
2022-07-21 04:36:46.468000+00:00,,,,,0.0,,
2022-07-21 04:58:01.713000+00:00,8.029999,,,,,,
2022-07-21 05:01:01.847000+00:00,,291.6,,,,,
2022-07-21 05:03:46.413000+00:00,,,2061.38,,,,
2022-07-21 05:06:46.404000+00:00,,,,0.0,,,
2022-07-21 05:30:46.360000+00:00,7.99,,,,,,
2022-07-21 05:34:01.809000+00:00,,292.7,,,,,
2022-07-21 05:40:01.650000+00:00,,,,0.0,,,
2022-07-21 06:04:01.601000+00:00,7.979999,,,,,,
2022-07-21 06:07:01.751000+00:00,,292.7,,,,,
2022-07-21 06:09:46.289000+00:00,,,2198.65,,,,
2022-07-21 06:12:46.286000+00:00,,,,0.0,,,
2022-07-21 06:19:01.581000+00:00,,,,,,4.8,
2022-07-21 06:36:46.257000+00:00,8.009999,,,,,,
2022-07-21 06:39:46.215000+00:00,,298.1,,,,,
2022-07-21 06:48:46.218000+00:00,,,,,0.0,,
2022-07-21 06:52:01.670000+00:00,,,,,,4.8,
2022-07-21 07:09:46.185000+00:00,7.959999,,,,,,
2022-07-21 07:16:01.471000+00:00,,,2054.92,,,,
2022-07-21 07:19:01.601000+00:00,,,,0.0,,,
2022-07-21 07:21:46.151000+00:00,,,,,0.0,,
2022-07-21 07:24:46.154000+00:00,,,,,,4.8,
2022-07-21 07:43:01.555000+00:00,8.0,,,,,,
2022-07-21 07:46:01.547000+00:00,,313.8,,,,,
2022-07-21 07:48:46.121000+00:00,,,1981.06,,,,
2022-07-21 07:51:46.101000+00:00,,,,0.0,,,
2022-07-21 07:57:46.086000+00:00,,,,,,4.7,
2022-07-21 08:16:01.537000+00:00,7.949999,,,,,,
2022-07-21 08:19:01.597000+00:00,,302.5999,,,,,
2022-07-21 08:22:01.356000+00:00,,,2050.57,,,,
2022-07-21 08:25:01.347000+00:00,,,,0.0,,,
2022-07-21 08:28:01.523000+00:00,,,,,0.0,,
2022-07-21 08:31:01.305000+00:00,,,,,,4.6,
2022-07-21 08:52:01.327000+00:00,,301.1,,,,,
2022-07-21 08:55:01.290000+00:00,,,1950.13,,,,
2022-07-21 09:01:01.405000+00:00,,,,,0.0,,
2022-07-21 09:03:45.989000+00:00,,,,,,4.5,
2022-07-21 09:21:45.932000+00:00,7.969999,,,,,,
2022-07-21 09:24:45.919000+00:00,,299.5,,,,,
2022-07-21 09:34:01.376000+00:00,,,,,0.0,,
2022-07-21 09:40:01.335000+00:00,,,,,,,1.62
2022-07-21 09:54:45.847000+00:00,8.0,,,,,,
2022-07-21 09:58:01.312000+00:00,,300.2,,,,,
2022-07-21 10:00:45.853000+00:00,,,1999.75,,,,
2022-07-21 10:03:45.862000+00:00,,,,0.0,,,
2022-07-21 10:10:01.301000+00:00,,,,,,4.3,
2022-07-21 10:33:45.785000+00:00,,,2126.579,,,,
2022-07-21 10:36:45.790000+00:00,,,,0.0,,,
2022-07-21 11:00:45.740000+00:00,8.0,,,,,,
2022-07-21 11:04:01.053000+00:00,,298.1,,,,,
2022-07-21 11:06:45.731000+00:00,,,2086.62,,,,
2022-07-21 11:09:45.732000+00:00,,,,0.0,,,
2022-07-21 11:16:01.180000+00:00,,,,,,4.1,
2022-07-21 11:39:45.692000+00:00,,,2141.66,,,,
2022-07-21 11:43:01.001000+00:00,,,,0.0,,,
2022-07-21 11:45:45.669000+00:00,,,,,0.0,,
2022-07-21 12:07:00.953000+00:00,8.029999,,,,,,
2022-07-21 12:09:45.628000+00:00,,296.9999,,,,,
2022-07-21 12:13:00.929000+00:00,,,1957.14,,,,
2022-07-21 12:16:00.922000+00:00,,,,0.0,,,
2022-07-21 12:19:00.919000+00:00,,,,,0.0,,
2022-07-21 12:21:45.604000+00:00,,,,,,4.1,
2022-07-21 12:39:45.591000+00:00,8.009999,,,,,,
2022-07-21 12:46:01.021000+00:00,,,2028.09,,,,
2022-07-21 12:54:45.547000+00:00,,,,,,4.1,
2022-07-21 13:12:45.553000+00:00,8.019999,,,,,,
2022-07-21 13:15:45.540000+00:00,,296.7,,,,,
2022-07-21 13:22:00.974000+00:00,,,,0.0,,,
2022-07-21 13:25:00.851000+00:00,,,,,0.0,,
2022-07-21 13:27:45.507000+00:00,,,,,,4.1,
2022-07-21 13:45:45.466000+00:00,8.009999,,,,,,
2022-07-21 13:49:00.948000+00:00,,295.5,,,,,
2022-07-21 13:51:45.504000+00:00,,,1988.06,,,,
2022-07-21 13:54:45.462000+00:00,,,,0.0,,,
2022-07-21 13:58:00.770000+00:00,,,,,0.0,,
2022-07-21 14:19:00.729000+00:00,8.009999,,,,,,
2022-07-21 14:21:45.426000+00:00,,296.9,,,,,
2022-07-21 14:24:45.421000+00:00,,,1957.79,,,,
2022-07-21 14:28:00.707000+00:00,,,,0.0,,,
2022-07-21 14:31:00.722000+00:00,,,,,0.0,,
2022-07-21 14:34:00.719000+00:00,,,,,,4.4,
2022-07-21 14:51:45.383000+00:00,8.0,,,,,,
2022-07-21 14:54:45.341000+00:00,,297.5,,,,,
2022-07-21 14:58:00.823000+00:00,,,1954.76,,,,
2022-07-21 15:01:00.790000+00:00,,,,0.0,,,
2022-07-21 15:03:45.355000+00:00,,,,,0.0,,
2022-07-21 15:07:00.790000+00:00,,,,,,4.5,
2022-07-21 15:25:00.759000+00:00,7.99,,,,,,
2022-07-21 15:28:00.592000+00:00,,297.5,,,,,
2022-07-21 15:31:00.743000+00:00,,,1977.99,,,,
2022-07-21 15:36:45.294000+00:00,,,,,0.0,,
2022-07-21 15:39:45.271000+00:00,,,,,,4.6,
2022-07-21 15:57:45.256000+00:00,7.979999,,,,,,
2022-07-21 16:00:45.243000+00:00,,297.1,,,,,
2022-07-21 16:07:00.696000+00:00,,,,0.0,,,
2022-07-21 16:09:45.218000+00:00,,,,,0.0,,
2022-07-21 16:12:45.206000+00:00,,,,,,4.6,
2022-07-21 16:30:45.173000+00:00,7.949999,,,,,,
2022-07-21 16:34:00.638000+00:00,,296.7,,,,,
2022-07-21 16:36:45.178000+00:00,,,1899.77,,,,
2022-07-21 16:39:45.182000+00:00,,,,0.0,,,
2022-07-21 16:43:00.634000+00:00,,,,,0.0,,
2022-07-21 16:45:45.168000+00:00,,,,,,4.8,
2022-07-21 17:03:45.137000+00:00,7.939999,,,,,,
2022-07-21 17:09:45.124000+00:00,,,2098.76,,,,
2022-07-21 17:12:45.100000+00:00,,,,0.0,,,
2022-07-21 17:16:00.566000+00:00,,,,,0.0,,
2022-07-21 17:19:00.565000+00:00,,,,,,4.9,
2022-07-21 17:37:00.397000+00:00,7.929999,,,,,,
2022-07-21 17:43:00.369000+00:00,,,2047.58,,,,
2022-07-21 17:45:45.060000+00:00,,,,0.0,,,
2022-07-21 17:49:00.361000+00:00,,,,,0.0,,
2022-07-21 17:52:00.504000+00:00,,,,,,4.9,
2022-07-21 18:10:00.320000+00:00,7.919999,,,,,,
2022-07-21 18:15:45.007000+00:00,,,2086.04,,,,
2022-07-21 18:18:45.002000+00:00,,,,0.0,,,
2022-07-21 18:22:00.459000+00:00,,,,,0.0,,
2022-07-21 18:24:44.979000+00:00,,,,,,5.0,
2022-07-21 18:43:00.403000+00:00,7.909999,,,,,,
2022-07-21 18:45:44.916000+00:00,,293.2,,,,,
2022-07-21 18:49:00.401000+00:00,,,1960.08,,,,
2022-07-21 18:52:00.388000+00:00,,,,0.0,,,
2022-07-21 18:54:44.921000+00:00,,,,,0.0,,
2022-07-21 18:57:44.930000+00:00,,,,,,5.1,
2022-07-21 19:21:44.871000+00:00,,,2121.22,,,,
2022-07-21 19:30:44.859000+00:00,,,,,,5.1,
2022-07-21 19:49:00.306000+00:00,7.919999,,,,,,
2022-07-21 19:52:00.262000+00:00,,292.9,,,,,
2022-07-21 19:55:00.117000+00:00,,,1879.45,,,,
2022-07-21 19:58:00.178000+00:00,,,,0.0,,,
2022-07-21 20:00:44.808000+00:00,,,,,0.0,,
2022-07-21 20:22:00.066000+00:00,7.939999,,,,,,
2022-07-21 20:24:44.744000+00:00,,292.9,,,,,
2022-07-21 20:27:44.752000+00:00,,,1921.72,,,,
2022-07-21 20:31:00.065000+00:00,,,,0.0,,,
2022-07-21 20:33:44.716000+00:00,,,,,0.0,,
2022-07-21 20:36:44.747000+00:00,,,,,,5.2,
2022-07-21 20:55:00.157000+00:00,7.9,,,,,,
2022-07-21 20:58:00.167000+00:00,,291.9,,,,,
2022-07-21 21:00:44.700000+00:00,,,2080.21,,,,
2022-07-21 21:04:00+00:00,,,,0.0,,,
2022-07-21 21:09:59.977000+00:00,,,,,,5.2,
2022-07-21 21:30:44.637000+00:00,,291.0,,,,,
2022-07-21 21:33:59.951000+00:00,,,2049.94,,,,
2022-07-21 21:37:00.067000+00:00,,,,0.0,,,
2022-07-21 21:42:44.626000+00:00,,,,,,5.1,
2022-07-21 21:46:00.053000+00:00,,,,,,,0.35
2022-07-21 22:06:59.865000+00:00,,,2159.64,,,,
2022-07-21 22:09:59.864000+00:00,,,,0.0,,,
2022-07-21 22:12:59.888000+00:00,,,,,0.0,,
2022-07-21 22:15:59.879000+00:00,,,,,,5.2,
2022-07-21 22:33:44.522000+00:00,7.909999,,,,,,
2022-07-21 22:36:44.534000+00:00,,290.5,,,,,
2022-07-21 22:39:59.831000+00:00,,,2048.64,,,,
2022-07-21 22:42:59.797000+00:00,,,,0.0,,,
2022-07-21 22:45:44.508000+00:00,,,,,0.0,,
2022-07-21 22:48:59.803000+00:00,,,,,,5.1,
2022-07-21 23:12:44.525000+00:00,,,2169.61,,,,
2022-07-21 23:15:44.428000+00:00,,,,0.0,,,
2022-07-21 23:18:44.485000+00:00,,,,,0.0,,
2022-07-21 23:21:59.908000+00:00,,,,,,5.0,
2022-07-21 23:39:59.726000+00:00,7.919999,,,,,,
2022-07-21 23:45:44.417000+00:00,,,1966.03,,,,
2022-07-21 23:54:59.694000+00:00,,,,,,5.1,
2022-07-22 00:12:59.805000+00:00,7.919999,,,,,,
2022-07-22 00:15:44.334000+00:00,,296.5,,,,,
2022-07-22 00:18:59.633000+00:00,,,1901.76,,,,
2022-07-22 00:21:59.815000+00:00,,,,0.0,,,
2022-07-22 00:51:59.739000+00:00,,,2082.29,,,,
